age,education,marital_status,sex,capital_gain,capital_loss,hours_per_week,country,income
48,11th,Never-married,Male,0,0,40,Puerto-Rico,1
21,Some-college,Never-married,Male,0,0,40,United-States,1
19,HS-grad,Married-AF-spouse,Female,0,0,25,United-States,1
31,Some-college,Married-civ-spouse,Male,0,0,38,?,0
48,Assoc-acdm,Married-civ-spouse,Male,0,0,40,United-States,1
31,9th,Married-civ-spouse,Male,0,0,43,United-States,1
53,Bachelors,Married-civ-spouse,Male,0,0,40,United-States,1
24,Bachelors,Married-civ-spouse,Male,0,0,50,United-States,1
49,HS-grad,Separated,Female,0,0,40,United-States,1
25,HS-grad,Never-married,Male,0,0,35,United-States,1
57,Bachelors,Married-civ-spouse,Male,0,0,40,United-States,0
53,HS-grad,Married-civ-spouse,Male,0,0,38,United-States,1
44,Masters,Divorced,Female,0,0,40,United-States,1
41,Assoc-voc,Married-civ-spouse,Male,0,0,40,United-States,1
29,Assoc-voc,Never-married,Male,0,0,43,United-States,1
25,Some-college,Married-civ-spouse,Female,0,0,40,United-States,1
18,HS-grad,Never-married,Female,0,0,30,?,1
47,Prof-school,Married-civ-spouse,Female,0,1902,60,Honduras,0
50,Bachelors,Divorced,Male,0,0,55,United-States,0
47,HS-grad,Divorced,Male,0,0,60,United-States,1
43,Some-college,Married-civ-spouse,Male,0,0,40,United-States,0
46,5th-6th,Married-civ-spouse,Male,0,0,40,Mexico,1
35,Assoc-voc,Married-civ-spouse,Male,0,0,40,Puerto-Rico,1
41,HS-grad,Married-civ-spouse,Male,0,0,48,United-States,1
30,HS-grad,Married-civ-spouse,Male,5013,0,40,United-States,1
30,Bachelors,Married-civ-spouse,Male,2407,0,40,United-States,1
32,7th-8th,Married-spouse-absent,Male,0,0,40,?,1
48,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
42,Doctorate,Married-civ-spouse,Male,0,0,45,United-States,0
29,Some-college,Divorced,Male,0,0,58,United-States,1
36,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
28,Some-college,Divorced,Female,0,0,40,United-States,1
53,HS-grad,Married-civ-spouse,Female,0,0,40,United-States,0
49,Some-college,Married-civ-spouse,Male,0,0,50,United-States,0
25,Some-college,Never-married,Male,0,0,40,United-States,1
19,Some-college,Never-married,Male,0,0,32,United-States,1
31,Bachelors,Separated,Female,0,0,40,United-States,1
29,Bachelors,Married-civ-spouse,Male,0,0,70,United-States,0
23,Some-college,Never-married,Male,0,0,40,United-States,1
79,Some-college,Married-civ-spouse,Male,0,0,20,United-States,1
27,HS-grad,Never-married,Male,0,0,40,Mexico,1
40,Assoc-acdm,Married-civ-spouse,Male,0,0,40,United-States,1
67,10th,Married-civ-spouse,Male,0,0,2,United-States,1
18,11th,Never-married,Female,0,0,22,United-States,1
31,7th-8th,Married-civ-spouse,Male,0,0,40,United-States,1
18,HS-grad,Never-married,Male,0,0,30,United-States,1
52,Bachelors,Married-civ-spouse,Male,0,0,40,Cuba,1
46,HS-grad,Married-civ-spouse,Female,0,0,40,United-States,1
59,HS-grad,Married-civ-spouse,Male,0,0,48,United-States,1
44,HS-grad,Divorced,Female,14344,0,40,United-States,0
53,HS-grad,Divorced,Female,0,0,35,United-States,1
49,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,0
33,Masters,Married-civ-spouse,Male,0,0,50,United-States,1
30,9th,Never-married,Male,0,0,40,United-States,1
43,Doctorate,Never-married,Female,0,0,50,United-States,0
57,Assoc-voc,Married-civ-spouse,Male,0,0,40,United-States,1
37,Some-college,Divorced,Female,0,0,40,United-States,1
28,Some-college,Divorced,Female,0,0,25,United-States,1
30,HS-grad,Married-civ-spouse,Female,0,1573,35,?,1
34,Bachelors,Married-civ-spouse,Male,0,0,40,United-States,0
29,Some-college,Never-married,Male,0,0,50,United-States,1
48,Doctorate,Married-civ-spouse,Male,0,1902,60,United-States,0
37,Some-college,Married-civ-spouse,Male,0,0,48,United-States,0
48,Assoc-acdm,Divorced,Female,0,0,40,England,1
32,HS-grad,Never-married,Male,0,0,40,United-States,1
76,Masters,Married-civ-spouse,Male,0,0,40,United-States,0
44,Bachelors,Married-civ-spouse,Male,15024,0,60,United-States,0
47,Masters,Never-married,Female,0,0,50,United-States,1
20,Some-college,Never-married,Female,0,0,40,United-States,1
29,HS-grad,Never-married,Male,0,0,40,United-States,1
32,HS-grad,Married-civ-spouse,Male,7688,0,40,United-States,0
17,10th,Never-married,Female,34095,0,32,United-States,1
30,11th,Never-married,Male,0,0,40,United-States,1
31,HS-grad,Never-married,Female,0,0,40,United-States,1
42,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
24,Bachelors,Never-married,Male,0,0,40,United-States,1
38,Prof-school,Married-civ-spouse,Male,0,0,40,United-States,0
56,HS-grad,Married-civ-spouse,Male,0,1887,50,Canada,0
28,Some-college,Married-civ-spouse,Female,4064,0,25,United-States,1
36,HS-grad,Never-married,Female,0,0,40,United-States,1
53,9th,Married-civ-spouse,Male,0,0,50,United-States,1
56,Some-college,Married-civ-spouse,Male,0,0,50,United-States,1
49,Assoc-voc,Married-civ-spouse,Male,0,0,40,United-States,0
55,Some-college,Married-civ-spouse,Male,0,0,56,United-States,1
22,HS-grad,Never-married,Male,0,0,41,United-States,1
21,Some-college,Never-married,Female,0,0,40,United-States,1
40,Bachelors,Married-civ-spouse,Male,0,0,60,United-States,1
30,Bachelors,Never-married,Male,0,0,40,Germany,1
29,Bachelors,Married-civ-spouse,Male,0,0,50,United-States,0
19,Some-college,Never-married,Male,0,0,35,United-States,1
47,Bachelors,Married-civ-spouse,Female,0,0,40,United-States,0
20,Some-college,Never-married,Female,0,1719,28,United-States,1
31,Assoc-acdm,Married-civ-spouse,Male,0,0,40,United-States,0
35,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
39,Some-college,Divorced,Male,0,0,40,United-States,1
28,Assoc-acdm,Never-married,Female,0,0,60,United-States,1
24,HS-grad,Never-married,Female,0,1762,40,United-States,1
38,HS-grad,Married-civ-spouse,Male,4386,0,35,United-States,1
37,Bachelors,Married-civ-spouse,Male,0,0,50,United-States,1
46,Assoc-acdm,Divorced,Female,0,0,36,United-States,1
38,Masters,Married-civ-spouse,Male,0,0,40,Iran,0
43,HS-grad,Married-civ-spouse,Male,0,0,60,United-States,1
27,Assoc-voc,Married-civ-spouse,Female,0,0,35,United-States,1
20,Some-college,Never-married,Male,0,0,20,United-States,1
49,Some-college,Married-civ-spouse,Male,0,0,40,United-States,0
61,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
27,Some-college,Never-married,Female,0,0,40,United-States,1
19,Some-college,Never-married,Male,0,0,30,Mexico,1
45,Assoc-voc,Never-married,Female,0,1564,40,United-States,0
70,Some-college,Never-married,Male,0,0,40,United-States,1
31,HS-grad,Never-married,Female,0,0,30,United-States,1
22,Some-college,Married-civ-spouse,Male,0,0,24,United-States,1
36,HS-grad,Widowed,Female,0,0,24,United-States,1
64,11th,Married-civ-spouse,Male,0,2179,40,United-States,1
43,Some-college,Divorced,Female,0,0,40,United-States,1
47,Some-college,Divorced,Female,0,0,38,Mexico,1
34,HS-grad,Never-married,Female,0,0,40,United-States,1
33,Bachelors,Never-married,Female,0,0,40,Philippines,1
21,HS-grad,Never-married,Male,0,0,35,United-States,1
52,HS-grad,Divorced,Male,0,0,45,United-States,0
48,HS-grad,Married-civ-spouse,Male,0,0,46,United-States,1
23,Bachelors,Never-married,Male,0,0,40,United-States,1
71,Some-college,Separated,Male,0,1816,2,United-States,1
29,HS-grad,Divorced,Male,0,0,60,United-States,1
42,Bachelors,Separated,Male,0,0,50,United-States,1
68,1st-4th,Divorced,Female,0,0,20,United-States,1
25,HS-grad,Never-married,Female,0,0,40,United-States,1
44,Masters,Divorced,Female,0,0,40,United-States,1
28,HS-grad,Never-married,Female,0,0,40,England,1
45,Masters,Married-civ-spouse,Male,0,0,40,United-States,0
36,Some-college,Divorced,Female,0,0,40,Mexico,1
39,Assoc-acdm,Never-married,Male,0,0,42,United-States,1
46,Masters,Widowed,Male,0,0,40,United-States,1
18,11th,Never-married,Male,0,0,16,United-States,1
66,Assoc-voc,Widowed,Female,0,0,20,United-States,1
27,HS-grad,Never-married,Male,0,1980,40,United-States,1
28,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
51,Some-college,Married-civ-spouse,Male,0,1977,40,United-States,0
27,Bachelors,Never-married,Male,0,0,50,United-States,1
28,Bachelors,Married-civ-spouse,Male,0,0,40,United-States,0
27,HS-grad,Married-spouse-absent,Female,0,0,25,United-States,1
21,HS-grad,Never-married,Male,0,0,40,United-States,1
34,HS-grad,Never-married,Male,0,0,40,United-States,1
18,HS-grad,Never-married,Male,0,0,12,United-States,1
33,Bachelors,Married-civ-spouse,Male,0,0,65,United-States,1
44,Some-college,Married-civ-spouse,Male,0,0,38,United-States,0
43,Some-college,Divorced,Female,0,0,40,United-States,1
30,Some-college,Never-married,Male,0,0,45,United-States,1
40,7th-8th,Married-civ-spouse,Male,0,0,40,Mexico,0
37,Some-college,Married-civ-spouse,Male,0,0,42,United-States,0
34,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
41,Bachelors,Divorced,Female,0,0,40,United-States,1
53,Bachelors,Divorced,Female,0,0,50,United-States,1
31,Masters,Married-civ-spouse,Female,0,0,50,United-States,1
58,Doctorate,Married-civ-spouse,Male,0,0,1,United-States,0
38,Some-college,Divorced,Female,0,0,28,United-States,1
24,Some-college,Married-civ-spouse,Male,0,0,40,United-States,1
41,Bachelors,Married-civ-spouse,Male,0,0,40,United-States,1
47,Some-college,Married-civ-spouse,Male,0,0,45,United-States,1
41,Bachelors,Married-civ-spouse,Male,0,0,24,United-States,1
23,5th-6th,Married-civ-spouse,Male,0,0,40,Mexico,1
36,Some-college,Divorced,Male,0,0,40,United-States,1
40,Masters,Never-married,Female,14084,0,55,United-States,0
35,Masters,Married-civ-spouse,Male,7298,0,40,United-States,0
24,HS-grad,Never-married,Male,0,0,40,United-States,1
26,Masters,Never-married,Female,0,1876,40,United-States,1
19,HS-grad,Never-married,Male,0,0,40,Italy,1
51,Bachelors,Married-civ-spouse,Male,0,0,50,United-States,0
42,Some-college,Never-married,Female,0,1340,40,United-States,1
37,HS-grad,Divorced,Female,0,0,35,United-States,1
18,11th,Never-married,Female,0,0,40,United-States,1
36,Bachelors,Married-civ-spouse,Male,7298,0,36,United-States,0
35,HS-grad,Divorced,Male,0,0,60,United-States,1
58,HS-grad,Married-civ-spouse,Female,15024,0,35,United-States,0
17,11th,Never-married,Female,0,0,12,United-States,1
44,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
37,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,0
35,Some-college,Never-married,Female,0,0,40,United-States,1
60,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
54,7th-8th,Married-civ-spouse,Male,0,0,40,United-States,0
37,Bachelors,Never-married,Male,0,0,60,United-States,0
50,Assoc-acdm,Divorced,Female,0,0,40,United-States,1
38,Bachelors,Married-civ-spouse,Male,0,0,50,Poland,1
45,Bachelors,Married-civ-spouse,Male,0,0,55,United-States,1
25,10th,Never-married,Male,0,0,40,United-States,1
31,Some-college,Married-civ-spouse,Male,0,0,40,United-States,1
64,1st-4th,Divorced,Male,0,0,40,United-States,1
90,HS-grad,Never-married,Male,0,2206,40,United-States,1
54,HS-grad,Married-civ-spouse,Male,0,0,20,United-States,1
53,Preschool,Never-married,Female,0,0,35,United-States,1
18,HS-grad,Never-married,Female,0,0,40,United-States,1
60,10th,Divorced,Female,0,0,10,United-States,1
66,HS-grad,Married-civ-spouse,Male,1409,0,50,United-States,1
75,Assoc-voc,Widowed,Female,0,0,20,Columbia,1
65,HS-grad,Divorced,Female,0,0,40,United-States,1
35,11th,Separated,Male,3674,0,40,United-States,1
41,HS-grad,Divorced,Female,0,0,38,United-States,1
25,Some-college,Never-married,Male,0,0,42,United-States,1
33,Some-college,Divorced,Female,0,0,40,United-States,1
28,Prof-school,Never-married,Male,0,0,55,United-States,0
59,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
40,Some-college,Never-married,Female,0,0,38,United-States,1
41,Bachelors,Married-civ-spouse,Male,0,0,50,Iran,0
38,Masters,Married-civ-spouse,Male,0,0,70,United-States,0
23,HS-grad,Never-married,Male,0,0,40,United-States,1
40,Bachelors,Married-civ-spouse,Male,0,0,40,United-States,0
41,HS-grad,Married-civ-spouse,Female,0,0,20,United-States,1
24,Assoc-acdm,Married-civ-spouse,Male,0,0,50,United-States,1
20,Some-college,Never-married,Male,0,0,20,United-States,1
38,Some-college,Divorced,Male,0,1741,40,United-States,1
56,HS-grad,Married-civ-spouse,Male,0,0,35,?,1
58,HS-grad,Married-civ-spouse,Male,0,0,45,United-States,0
32,HS-grad,Never-married,Female,0,0,34,United-States,1
40,Assoc-acdm,Married-civ-spouse,Male,0,1977,60,United-States,0
45,HS-grad,Married-civ-spouse,Male,0,0,40,?,1
41,Prof-school,Married-civ-spouse,Female,0,0,40,United-States,0
42,Bachelors,Married-civ-spouse,Female,0,0,40,United-States,1
59,10th,Widowed,Female,0,0,30,United-States,1
19,Some-college,Never-married,Male,0,0,40,United-States,1
58,Some-college,Never-married,Male,0,0,20,United-States,1
42,HS-grad,Married-civ-spouse,Male,0,0,40,Cambodia,0
20,HS-grad,Never-married,Female,0,0,40,United-States,1
32,HS-grad,Separated,Female,0,0,30,United-States,1
45,Assoc-voc,Widowed,Female,0,0,45,United-States,1
50,7th-8th,Divorced,Male,0,0,40,United-States,1
36,Bachelors,Divorced,Female,0,0,40,United-States,1
45,HS-grad,Married-civ-spouse,Male,0,0,60,United-States,1
17,11th,Never-married,Male,0,0,12,United-States,1
59,Some-college,Married-civ-spouse,Male,4064,0,40,United-States,1
26,11th,Married-civ-spouse,Male,0,0,40,United-States,1
37,Some-college,Married-civ-spouse,Male,0,0,75,Thailand,0
19,Some-college,Never-married,Male,0,0,24,Canada,1
64,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,0
33,Bachelors,Never-married,Female,0,0,45,United-States,1
33,HS-grad,Married-civ-spouse,Female,0,0,40,United-States,0
61,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,0
17,9th,Never-married,Male,1055,0,24,United-States,1
50,Masters,Married-civ-spouse,Male,2407,0,98,United-States,1
27,Masters,Never-married,Male,0,0,35,United-States,1
30,HS-grad,Divorced,Female,0,0,40,United-States,1
43,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
44,Some-college,Married-civ-spouse,Male,7298,0,40,United-States,0
35,Some-college,Never-married,Female,0,0,40,United-States,1
25,Some-college,Never-married,Female,0,0,40,United-States,1
24,Some-college,Married-civ-spouse,Female,7298,0,48,United-States,0
22,Bachelors,Never-married,Female,0,0,15,Germany,1
42,Some-college,Married-civ-spouse,Male,5178,0,40,United-States,0
34,Assoc-acdm,Divorced,Female,0,0,45,United-States,1
60,Bachelors,Divorced,Female,0,0,42,United-States,1
21,HS-grad,Never-married,Male,0,0,40,United-States,1
57,Masters,Married-civ-spouse,Male,15024,0,40,United-States,0
41,Prof-school,Married-civ-spouse,Male,0,0,60,United-States,0
50,Some-college,Divorced,Male,0,0,45,United-States,1
25,Bachelors,Never-married,Female,0,0,40,United-States,1
50,7th-8th,Married-civ-spouse,Male,0,0,40,Ecuador,1
36,Bachelors,Married-civ-spouse,Male,0,0,45,United-States,1
31,HS-grad,Divorced,Female,0,0,40,United-States,1
29,Bachelors,Never-married,Male,0,0,56,United-States,1
21,Some-college,Never-married,Male,0,0,45,United-States,1
27,Bachelors,Never-married,Female,0,0,40,United-States,1
65,HS-grad,Married-civ-spouse,Male,0,0,16,United-States,1
37,Bachelors,Divorced,Female,0,0,60,United-States,1
39,Masters,Married-civ-spouse,Female,3464,0,40,?,1
24,HS-grad,Never-married,Male,0,0,40,United-States,1
38,HS-grad,Divorced,Male,0,0,80,United-States,1
48,Bachelors,Married-civ-spouse,Male,7688,0,40,United-States,0
21,Some-college,Never-married,Female,0,0,25,United-States,1
31,HS-grad,Married-civ-spouse,Male,0,0,45,United-States,0
55,HS-grad,Married-civ-spouse,Male,4386,0,40,United-States,0
24,Some-college,Married-civ-spouse,Female,0,0,40,Laos,1
43,HS-grad,Divorced,Female,0,0,40,United-States,1
26,Assoc-acdm,Never-married,Male,0,0,45,United-States,1
46,Assoc-acdm,Never-married,Female,0,0,33,United-States,1
35,Assoc-acdm,Married-civ-spouse,Male,0,0,40,United-States,0
41,Some-college,Married-civ-spouse,Male,0,0,54,United-States,0
26,Bachelors,Never-married,Male,0,0,40,United-States,1
34,Masters,Married-civ-spouse,Male,7298,0,35,Taiwan,0
19,Some-college,Never-married,Female,0,0,25,United-States,1
36,Bachelors,Divorced,Female,0,0,40,United-States,0
22,Some-college,Never-married,Male,0,0,15,United-States,1
24,Some-college,Never-married,Male,0,0,40,United-States,1
77,Some-college,Married-civ-spouse,Male,0,0,40,United-States,1
22,5th-6th,Married-civ-spouse,Female,0,0,40,Mexico,1
29,Some-college,Never-married,Female,0,0,40,United-States,1
62,HS-grad,Widowed,Female,0,0,24,United-States,1
39,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
43,Some-college,Married-civ-spouse,Male,0,1485,50,United-States,1
35,HS-grad,Divorced,Male,0,0,45,United-States,1
29,11th,Never-married,Female,0,0,40,United-States,1
76,Masters,Married-civ-spouse,Male,0,0,10,United-States,1
63,HS-grad,Married-civ-spouse,Male,0,0,45,United-States,1
23,Assoc-voc,Never-married,Female,0,0,15,United-States,1
43,Some-college,Married-civ-spouse,Female,0,1887,50,United-States,0
58,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
66,HS-grad,Never-married,Male,2050,0,55,United-States,1
41,Some-college,Never-married,Male,0,0,45,United-States,1
26,Bachelors,Never-married,Male,0,0,40,United-States,1
47,Assoc-voc,Never-married,Male,0,0,40,United-States,1
55,10th,Married-civ-spouse,Male,0,0,40,United-States,1
53,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
17,5th-6th,Never-married,Male,0,0,48,Mexico,1
30,HS-grad,Never-married,Male,0,0,40,United-States,1
49,Masters,Never-married,Male,0,0,60,United-States,1
19,HS-grad,Never-married,Male,0,0,30,Haiti,1
45,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
26,Assoc-acdm,Never-married,Male,0,0,40,United-States,1
38,Assoc-voc,Married-civ-spouse,Male,7298,0,40,United-States,0
36,HS-grad,Married-civ-spouse,Male,7298,0,40,United-States,0
33,HS-grad,Never-married,Male,0,0,20,United-States,1
22,Some-college,Never-married,Female,0,0,40,United-States,1
43,Bachelors,Never-married,Male,0,0,42,United-States,1
67,11th,Married-civ-spouse,Male,0,0,8,United-States,1
30,Assoc-voc,Divorced,Female,0,0,40,United-States,1
56,Assoc-acdm,Married-spouse-absent,Male,0,0,25,Iran,1
31,Bachelors,Never-married,Male,0,0,25,United-States,1
33,Bachelors,Married-civ-spouse,Male,0,0,40,United-States,0
26,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
33,Bachelors,Married-civ-spouse,Male,0,0,40,United-States,0
46,11th,Married-civ-spouse,Male,0,0,30,United-States,1
59,Bachelors,Married-civ-spouse,Male,0,0,40,United-States,0
38,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,0
65,11th,Widowed,Male,0,0,40,United-States,1
40,Assoc-voc,Married-civ-spouse,Male,0,0,40,United-States,0
42,HS-grad,Married-civ-spouse,Female,0,0,35,United-States,1
26,9th,Married-civ-spouse,Male,0,0,40,Portugal,1
36,10th,Married-civ-spouse,Female,0,0,24,United-States,1
62,Masters,Married-civ-spouse,Male,0,0,40,United-States,0
43,Bachelors,Married-civ-spouse,Male,0,0,45,United-States,1
43,Bachelors,Divorced,Male,0,1564,45,United-States,0
22,HS-grad,Married-spouse-absent,Male,0,0,55,United-States,1
28,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
56,Some-college,Married-civ-spouse,Male,0,0,45,United-States,1
22,Assoc-acdm,Never-married,Female,0,0,15,United-States,1
57,Bachelors,Divorced,Female,0,0,45,United-States,0
39,HS-grad,Divorced,Female,0,0,40,United-States,1
26,Some-college,Never-married,Female,0,0,15,United-States,1
17,11th,Never-married,Male,0,0,10,United-States,1
40,Assoc-voc,Married-civ-spouse,Male,0,0,38,United-States,0
45,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
44,HS-grad,Never-married,Male,0,0,40,United-States,1
20,Some-college,Never-married,Female,0,0,10,United-States,1
33,HS-grad,Married-civ-spouse,Female,0,0,40,United-States,1
23,Some-college,Never-married,Male,0,0,40,United-States,1
46,Masters,Divorced,Male,0,0,30,United-States,1
38,HS-grad,Married-civ-spouse,Male,0,0,50,United-States,1
54,HS-grad,Divorced,Male,0,0,40,United-States,1
46,5th-6th,Divorced,Female,0,2339,45,United-States,1
25,Some-college,Married-civ-spouse,Male,0,0,40,United-States,1
46,Some-college,Divorced,Female,0,0,40,United-States,1
36,Some-college,Married-civ-spouse,Female,0,0,40,United-States,1
23,HS-grad,Never-married,Female,0,0,25,United-States,1
29,HS-grad,Separated,Male,0,0,40,United-States,1
44,Some-college,Married-civ-spouse,Female,0,2415,6,United-States,0
19,Some-college,Never-married,Female,0,0,16,United-States,1
19,HS-grad,Never-married,Female,0,0,40,United-States,1
35,HS-grad,Married-civ-spouse,Female,0,0,40,United-States,0
27,Bachelors,Never-married,Male,0,0,50,United-States,1
46,Assoc-acdm,Separated,Male,0,0,40,United-States,1
34,Bachelors,Married-civ-spouse,Male,7688,0,45,?,0
34,HS-grad,Never-married,Female,0,0,35,United-States,1
44,Some-college,Married-civ-spouse,Male,0,0,40,United-States,1
45,Some-college,Divorced,Female,0,0,40,United-States,1
20,HS-grad,Never-married,Female,0,0,35,United-States,1
25,Bachelors,Married-civ-spouse,Male,0,0,55,United-States,0
52,Bachelors,Married-civ-spouse,Male,0,0,50,United-States,0
20,Some-college,Never-married,Male,0,0,40,United-States,1
28,Some-college,Never-married,Female,0,0,40,United-States,1
50,Bachelors,Married-civ-spouse,Male,0,0,40,United-States,0
34,Assoc-voc,Divorced,Female,0,0,64,United-States,1
28,7th-8th,Married-civ-spouse,Male,0,2179,40,Puerto-Rico,1
41,Masters,Married-civ-spouse,Male,0,1977,65,United-States,0
28,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
46,HS-grad,Married-civ-spouse,Male,0,0,25,United-States,1
28,Some-college,Married-civ-spouse,Female,0,1887,40,United-States,0
32,Some-college,Married-civ-spouse,Male,0,0,50,United-States,1
41,Some-college,Divorced,Female,0,0,24,United-States,1
24,HS-grad,Never-married,Female,0,0,40,United-States,1
33,Some-college,Divorced,Female,0,0,40,United-States,1
46,Doctorate,Married-civ-spouse,Male,15024,0,60,United-States,0
31,Some-college,Married-civ-spouse,Male,0,0,40,United-States,1
35,12th,Divorced,Male,0,0,50,United-States,0
52,1st-4th,Married-civ-spouse,Male,0,0,40,Mexico,1
30,11th,Never-married,Female,0,0,19,United-States,1
34,11th,Separated,Male,0,0,40,United-States,1
34,HS-grad,Divorced,Female,0,0,40,United-States,1
20,Some-college,Married-civ-spouse,Male,0,0,30,United-States,1
17,11th,Never-married,Male,2176,0,18,United-States,1
32,Bachelors,Married-civ-spouse,Female,0,0,40,United-States,0
29,HS-grad,Divorced,Male,0,0,40,United-States,1
33,10th,Never-married,Female,0,0,35,United-States,1
25,HS-grad,Married-civ-spouse,Male,0,0,60,United-States,1
36,Masters,Never-married,Male,0,1408,40,United-States,1
23,HS-grad,Never-married,Male,0,0,72,Dominican-Republic,1
63,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,0
47,Masters,Married-civ-spouse,Male,0,0,40,United-States,1
80,HS-grad,Widowed,Male,0,0,24,United-States,1
17,11th,Never-married,Male,0,0,40,United-States,1
40,Bachelors,Married-spouse-absent,Female,2174,0,40,United-States,1
30,Assoc-acdm,Married-civ-spouse,Female,0,0,25,United-States,0
27,Some-college,Never-married,Male,0,1980,40,Philippines,1
33,Masters,Married-civ-spouse,Male,0,0,50,United-States,0
34,HS-grad,Never-married,Male,594,0,60,United-States,1
34,Some-college,Never-married,Female,0,0,40,United-States,1
23,Some-college,Married-civ-spouse,Male,0,0,40,United-States,1
42,Some-college,Married-civ-spouse,Female,0,0,40,United-States,1
29,Bachelors,Never-married,Male,0,0,40,United-States,1
45,HS-grad,Divorced,Female,0,0,28,United-States,1
24,HS-grad,Never-married,Male,0,0,40,United-States,1
44,Some-college,Married-civ-spouse,Male,0,0,40,United-States,0
27,9th,Never-married,Male,0,0,40,Mexico,1
20,Some-college,Never-married,Male,0,0,35,United-States,1
44,HS-grad,Widowed,Female,0,0,40,United-States,1
51,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
20,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,1
17,11th,Never-married,Female,0,0,5,United-States,1
19,HS-grad,Never-married,Female,0,0,40,United-States,1
45,Some-college,Married-civ-spouse,Male,0,0,55,United-States,0
60,HS-grad,Married-civ-spouse,Male,0,0,40,United-States,0
42,Assoc-acdm,Married-civ-spouse,Male,0,0,40,?,0
44,HS-grad,Married-civ-spouse,Female,0,0,40,United-States,0
40,Assoc-voc,Married-civ-spouse,Male,0,0,40,United-States,0
30,HS-grad,Married-civ-spouse,Female,0,0,40,United-States,1
38,Some-college,Married-civ-spouse,Male,0,0,50,United-States,1
23,HS-grad,Married-civ-spouse,Male,0,0,60,United-States,1
32,Some-college,Married-civ-spouse,Male,0,0,40,United-States,1
